sequence,drummer,session,id,style,midi_filename,audio_filename,bpm,split,y_0,y_1,y_2,y_3,y_4,y_5,y_6,y_7,y_8,y_9,y_10,y_11,y_12,y_13,y_14,y_15
0,drummer1,drummer1/eval_session,drummer1/eval_session/1,funk/groove1,drummer1/eval_session/1_funk-groove1_138_beat_4-4.mid,drummer1/eval_session/1_funk-groove1_138_beat_4-4.wav,138,test,2.163393,2.2853286,2.8403513,2.5463586,1.5416491,2.531632,3.3025694,2.878814,3.399083,2.611855,2.9322157,3.363758,1.0,1.8033065,2.7794342,3.1031551
1,drummer1,drummer1/eval_session,drummer1/eval_session/10,soul/groove10,drummer1/eval_session/10_soul-groove10_102_beat_4-4.mid,drummer1/eval_session/10_soul-groove10_102_beat_4-4.wav,102,test,1.0,2.4092116,2.829618,4.016738,3.3682952,4.170562,2.3633604,3.1334717,2.2439964,1.4538217,2.4018712,3.2296958,2.4811556,2.6315181,3.6270306,3.0496004
2,drummer1,drummer1/eval_session,drummer1/eval_session/2,funk/groove2,drummer1/eval_session/2_funk-groove2_105_beat_4-4.mid,drummer1/eval_session/2_funk-groove2_105_beat_4-4.wav,105,test,1.7782307,3.3211842,2.615486,2.590771,1.0510751,1.8384389,2.4009984,2.4062772,3.0251725,2.8666546,1.7639055,2.7285273,1.0,2.0694501,2.3540328,2.8958511
3,drummer1,drummer1/eval_session,drummer1/eval_session/3,soul/groove3,drummer1/eval_session/3_soul-groove3_86_beat_4-4.mid,drummer1/eval_session/3_soul-groove3_86_beat_4-4.wav,86,test,2.209053,2.1981199,1.0,1.9916962,2.403699,2.569585,2.7081559,2.1400466,2.2272894,2.2703676,1.2483697,1.9762727,2.4674058,2.1249926,2.4453328,2.3772566
4,drummer1,drummer1/eval_session,drummer1/eval_session/4,soul/groove4,drummer1/eval_session/4_soul-groove4_80_beat_4-4.mid,drummer1/eval_session/4_soul-groove4_80_beat_4-4.wav,80,test,2.0232549,2.6725852,1.0,2.049548,1.9996405,1.895873,1.7613019,1.9018097,1.7816669,2.3337462,1.0482202,1.9988391,2.0586035,2.1280413,1.3947666,2.5457838
5,drummer1,drummer1/eval_session,drummer1/eval_session/5,funk/groove5,drummer1/eval_session/5_funk-groove5_84_beat_4-4.mid,drummer1/eval_session/5_funk-groove5_84_beat_4-4.wav,84,test,1.098194,1.9987576,2.152792,1.1310021,1.9875908,2.4139156,1.0,1.0683179,1.8730502,1.0453123,1.176329,1.2200543,1.2496445,1.6579789,1.7382194,2.0651574
6,drummer1,drummer1/eval_session,drummer1/eval_session/6,hiphop/groove6,drummer1/eval_session/6_hiphop-groove6_87_beat_4-4.mid,drummer1/eval_session/6_hiphop-groove6_87_beat_4-4.wav,87,test,2.3246145,2.5803385,1.0,2.255097,2.253681,2.4266505,2.3861976,2.4699683,1.9957664,2.7869399,2.3356836,1.3716277,2.1578798,2.4563394,2.6151254,2.1036682
7,drummer1,drummer1/eval_session,drummer1/eval_session/7,pop/groove7,drummer1/eval_session/7_pop-groove7_138_beat_4-4.mid,drummer1/eval_session/7_pop-groove7_138_beat_4-4.wav,138,test,3.5221343,3.1106193,1.2910361,2.3221188,2.9591084,3.5381403,2.1231241,3.55961,3.3356636,4.2419477,1.0,2.3292909,3.03211,4.128448,1.6864274,3.2032394
8,drummer1,drummer1/eval_session,drummer1/eval_session/8,rock/groove8,drummer1/eval_session/8_rock-groove8_65_beat_4-4.mid,drummer1/eval_session/8_rock-groove8_65_beat_4-4.wav,65,test,2.2353776,2.9155538,1.0,2.2507527,1.9019656,2.2352788,1.4879895,2.8341675,1.8000125,2.9897597,1.2722082,1.8374048,1.856073,2.6929007,2.0085814,2.5050135
9,drummer1,drummer1/eval_session,drummer1/eval_session/9,soul/groove9,drummer1/eval_session/9_soul-groove9_105_beat_4-4.mid,drummer1/eval_session/9_soul-groove9_105_beat_4-4.wav,105,test,2.979847,3.0808272,1.0,2.1066828,2.6121078,3.410328,2.8639336,2.194969,2.623726,3.6364675,1.0266495,2.1549227,2.4952304,3.561271,2.2041948,3.2843587
